,fare_amount
0,10.424014
1,10.62304
2,4.4006014
3,7.4792953
4,14.699721
5,9.77258
6,5.473622
7,18.900866
8,11.816125
9,6.5619197
10,9.626644
11,15.582982
12,4.6375394
13,6.770185
14,8.175091
15,14.257401
16,4.3587713
17,9.0426655
18,4.720292
19,4.4150286
20,7.6632166
21,8.316636
22,6.708341
23,8.316636
24,16.434708
25,6.097703
26,18.088781
27,18.088781
28,6.2531395
29,15.11329
30,11.39501
31,6.3004184
32,5.665798
33,10.988122
34,8.316636
35,7.428231
36,6.2531395
37,5.2858577
38,7.428231
39,4.7114606
40,17.519203
41,10.329223
42,17.761694
43,9.326682
44,4.4204645
45,12.09407
46,5.1219497
47,6.3004184
48,5.7924905
49,4.6829205
50,11.560214
51,12.585081
52,16.38491
53,6.097703
54,6.8544602
55,15.234086
56,12.895167
57,9.635207
58,12.981642
59,13.386674
60,6.8544602
61,10.885594
62,4.7114606
63,4.9242826
64,7.428231
65,6.8544602
66,10.885594
67,5.3651237
68,4.7626457
69,16.243036
70,6.3004184
71,4.4204645
72,11.210746
73,6.8544602
74,9.660114
75,11.210746
76,17.976671
77,4.3449264
78,4.443271
79,4.9242826
80,6.097703
81,5.665798
82,7.428231
83,9.660114
84,16.38491
85,6.76701
86,4.3808126
87,6.8544602
88,15.981597
89,9.660114
90,10.885594
91,8.316636
92,6.3004184
93,6.3004184
94,14.38598
95,14.249415
96,11.497814
97,13.386674
98,6.8544602
99,10.885594
100,10.956062
101,6.724601
102,17.976671
103,6.76701
104,4.989929
105,4.4204645
106,12.09407
107,9.660114
108,12.09407
109,18.088781
110,18.088781
111,17.761694
112,10.956062
113,9.326682
114,6.2531395
115,7.860335
116,18.088781
117,12.583187
118,7.292613
119,10.885594
120,10.885594
121,4.989929
122,8.757147
123,5.2858577
124,6.8544602
125,4.4204645
126,7.4797454
127,12.200149
128,7.860335
129,16.258026
130,5.3311276
131,4.509343
132,7.3576827
133,6.708341
134,6.8544602
135,4.4204645
136,12.585081
137,5.296816
138,17.836863
139,8.316636
140,4.4204645
141,8.864307
142,8.316636
143,4.9242826
144,6.2531395
145,9.327423
146,10.888317
147,8.908076
148,8.316636
149,5.3311276
150,11.210746
151,8.864307
152,5.9680834
153,4.8809547
154,11.709944
155,7.5804534
156,7.5804534
157,19.903187
158,11.302986
159,9.2654705
160,13.141021
161,6.6135654
162,17.654175
163,16.333138
164,4.5400057
165,8.832688
166,4.1366234
167,15.344041
168,5.8414288
169,9.688992
170,9.650003
171,8.433156
172,17.151081
173,6.394058
174,4.3255014
175,8.895578
176,6.4038467
177,7.3540707
178,16.182482
179,7.77199
180,17.872036
181,9.2888365
182,16.41102
183,9.876713
184,10.517762
185,9.687127
186,8.249339
187,11.711394
188,19.515787
189,7.4822965
190,8.538545
191,8.538545
192,5.7700667
193,5.3602924
194,5.703279
195,8.780404
196,6.374507
197,11.098584
198,6.4377074
199,7.5280323
200,9.452971
201,9.999597
202,4.3255014
203,7.182263
204,6.1708155
205,5.2023087
206,8.469086
207,9.36333
208,7.592183
209,16.352924
210,5.5079274
211,13.408549
212,11.882229
213,7.026906
214,11.882229
215,6.5087457
216,14.250312
217,15.485108
218,14.531274
219,4.4260683
220,12.293717
221,4.4509945
222,13.107282
223,17.724527
224,10.677512
225,6.6288495
226,6.701322
227,8.186842
228,5.579322
229,6.5112686
230,5.579322
231,9.326692
232,8.222643
233,17.724527
234,10.691665
235,6.199801
236,5.5641418
237,9.62973
238,8.896791
239,12.1967745
240,10.691665
241,7.1437144
242,5.5641418
243,6.3939533
244,8.965281
245,14.468328
246,10.558586
247,17.724527
248,17.682978
249,8.222643
250,8.896791
251,17.724527
252,17.724527
253,9.62973
254,16.997847
255,16.41706
256,8.222643
257,15.986163
258,9.62973
259,17.724527
260,9.572777
261,13.527825
262,17.724527
263,14.250312
264,16.451181
265,7.1676855
266,15.71097
267,17.724527
268,17.682978
269,9.148755
270,4.221722
271,4.733678
272,12.439475
273,10.631703
274,13.078249
275,7.75963
276,7.573659
277,16.516935
278,7.809771
279,4.1376557
280,8.986464
281,19.146776
282,5.778641
283,17.724527
284,10.316331
285,10.587235
286,10.359917
287,12.516511
288,8.841772
289,5.2914433
290,15.487265
291,8.972247
292,7.603601
293,9.887866
294,10.394416
295,5.9451604
296,6.3251014
297,5.3524857
298,17.824518
299,4.655739
300,8.07835
301,17.741556
302,10.884278
303,17.824518
304,7.3705907
305,4.674785
306,9.272488
307,9.9709
308,6.5510283
309,4.294218
310,4.402201
311,7.0375686
312,9.681556
313,5.044449
314,8.070886
315,5.192339
316,7.0806346
317,9.2854
318,4.6390367
319,12.0180855
320,5.9931145
321,8.686952
322,7.3705907
323,8.023366
324,9.9709
325,11.036866
326,8.536693
327,7.5609865
328,4.655739
329,17.741556
330,9.271176
331,17.824518
332,7.3705907
333,5.6318183
334,6.3389874
335,6.3389874
336,12.863854
337,5.711837
338,17.824518
339,7.183865
340,8.084058
341,16.319008
342,10.59004
343,7.5609865
344,11.036866
345,5.5533485
346,5.044449
347,5.044449
348,4.294218
349,8.560612
350,9.062018
351,17.824518
352,4.6390367
353,12.005469
354,4.655739
355,7.9612217
356,17.824518
357,5.0348225
358,16.395447
359,17.368591
360,4.3504753
361,5.6318183
362,6.5510283
363,5.6318183
364,11.036866
365,11.036866
366,5.711837
367,9.9709
368,8.560612
369,12.111542
370,11.029644
371,6.5510283
372,11.029644
373,5.192339
374,4.6271987
375,4.402201
376,7.576783
377,5.9931145
378,6.4965067
379,7.0375686
380,5.6318183
381,7.0375686
382,7.183865
383,8.560612
384,5.711837
385,7.5609865
386,5.5533485
387,6.9315934
388,15.141636
389,6.3389874
390,7.5609865
391,10.133581
392,8.07835
393,7.576783
394,9.927641
395,5.6318183
396,15.632582
397,7.0375686
398,16.647913
399,8.084058
400,5.1916184
401,5.3720407
402,9.215801
403,20.665617
404,9.498636
405,9.55594
406,7.111096
407,17.474064
408,18.747913
409,10.646414
410,9.28147
411,7.3928876
412,17.476902
413,5.8840632
414,12.760184
415,11.477018
416,6.0374236
417,7.314682
418,8.316811
419,12.669715
420,4.857006
421,6.0374236
422,5.5753336
423,7.314682
424,7.353444
425,16.230448
426,4.56601
427,4.4080086
428,4.4080086
429,7.339837
430,6.7885213
431,6.5700116
432,7.651085
433,11.4382105
434,7.314682
435,11.42151
436,9.655335
437,6.0374236
438,7.651085
439,6.5700116
440,7.2112703
441,6.0374236
442,9.804837
443,7.2112703
444,11.152051
445,4.4080086
446,7.129142
447,6.7885213
448,10.179924
449,5.2674947
450,5.442361
451,7.314682
452,8.9797325
453,8.896856
454,9.412114
455,8.273515
456,10.825195
457,5.3931475
458,6.0374236
459,4.857006
460,10.12041
461,8.896856
462,6.7885213
463,10.825195
464,8.316811
465,8.273515
466,9.823752
467,8.9797325
468,10.825195
469,8.316811
470,7.339837
471,16.65323
472,7.353444
473,8.394032
474,18.292667
475,18.292667
476,6.3322687
477,6.3322687
478,14.101408
479,5.8055935
480,6.0374236
481,4.9970083
482,6.3078575
483,6.399357
484,8.330382
485,16.377497
486,11.4382105
487,6.5700116
488,8.202744
489,11.437314
490,15.691533
491,7.314682
492,7.651085
493,18.292667
494,8.330382
495,9.6854515
496,4.4080086
497,6.5700116
498,7.314682
499,10.825195
500,13.471804
501,9.412114
502,15.904348
503,13.471804
504,15.691533
505,7.3623333
506,18.292667
507,8.89932
508,5.2674947
509,18.292667
510,4.557981
511,5.2674947
512,7.651085
513,5.0698276
514,18.253302
515,6.8590693
516,6.7885213
517,4.857006
518,6.399357
519,7.5401707
520,6.1621795
521,12.454762
522,11.42151
523,5.2674947
524,5.5753336
525,7.314682
526,9.229236
527,9.412114
528,5.442361
529,7.5401707
530,18.253302
531,10.603364
532,7.353444
533,7.4000053
534,5.5300636
535,8.89932
536,12.669715
537,13.621465
538,4.692966
539,8.434311
540,6.486949
541,10.970092
542,17.786701
543,17.882135
544,4.350785
545,6.313105
546,17.786701
547,10.58508
548,7.482838
549,10.970092
550,15.684779
551,17.786701
552,4.397461
553,15.94401
554,8.011988
555,15.684779
556,17.786701
557,14.930212
558,17.786701
559,16.804132
560,5.9722342
561,13.792747
562,5.155601
563,5.685009
564,4.665924
565,7.8808107
566,12.988137
567,16.055695
568,11.123324
569,7.0447054
570,10.669113
571,7.961052
572,6.522847
573,6.9779463
574,7.4816346
575,10.1974535
576,8.617899
577,9.546377
578,12.280353
579,5.6169357
580,4.633834
581,12.6832285
582,5.751388
583,5.033617
584,8.682796
585,10.743842
586,5.2774005
587,8.810272
588,17.797493
589,12.093987
590,10.258758
591,7.7246537
592,5.0472493
593,4.3959703
594,9.339137
595,8.290961
596,10.669854
597,7.2057557
598,11.412747
599,19.444185
600,9.177245
601,4.70358
602,7.1874633
603,13.004495
604,10.727105
605,18.045847
606,7.2057557
607,19.485735
608,8.329226
609,8.329226
610,5.549224
611,8.204693
612,9.189569
613,7.6916466
614,5.4917817
615,6.7871985
616,6.149801
617,14.490709
618,18.95524
619,5.4723606
620,11.923436
621,8.773125
622,7.951357
623,6.4684153
624,8.773125
